ID,Content,Aspect,Opinion,Sentiment
Works great!,"Beautiful Stainless Steel outer shell with side handles so it is easy to move.  Very user friendly touch screen at the top.  Comes with metal trays, fruit roll up tray and 2 mesh trays.  User manual is easy to understand and it includes a recipe booklet.  Loving it.  Not loud at all when operating.  Easy to clean with soap and water rag.",screen at,friendly touch,POS
Works great!,"Beautiful Stainless Steel outer shell with side handles so it is easy to move.  Very user friendly touch screen at the top.  Comes with metal trays, fruit roll up tray and 2 mesh trays.  User manual is easy to understand and it includes a recipe booklet.  Loving it.  Not loud at all when operating.  Easy to clean with soap and water rag.",easy to,is,POS
Works great!,"Beautiful Stainless Steel outer shell with side handles so it is easy to move.  Very user friendly touch screen at the top.  Comes with metal trays, fruit roll up tray and 2 mesh trays.  User manual is easy to understand and it includes a recipe booklet.  Loving it.  Not loud at all when operating.  Easy to clean with soap and water rag.",when,loud,POS
Works great!,"Beautiful Stainless Steel outer shell with side handles so it is easy to move.  Very user friendly touch screen at the top.  Comes with metal trays, fruit roll up tray and 2 mesh trays.  User manual is easy to understand and it includes a recipe booklet.  Loving it.  Not loud at all when operating.  Easy to clean with soap and water rag.",when,loud at,POS
Works great!,"Beautiful Stainless Steel outer shell with side handles so it is easy to move.  Very user friendly touch screen at the top.  Comes with metal trays, fruit roll up tray and 2 mesh trays.  User manual is easy to understand and it includes a recipe booklet.  Loving it.  Not loud at all when operating.  Easy to clean with soap and water rag.",loud,at,POS
Works great!,"Beautiful Stainless Steel outer shell with side handles so it is easy to move.  Very user friendly touch screen at the top.  Comes with metal trays, fruit roll up tray and 2 mesh trays.  User manual is easy to understand and it includes a recipe booklet.  Loving it.  Not loud at all when operating.  Easy to clean with soap and water rag.",when,at,POS
Works great!,"Beautiful Stainless Steel outer shell with side handles so it is easy to move.  Very user friendly touch screen at the top.  Comes with metal trays, fruit roll up tray and 2 mesh trays.  User manual is easy to understand and it includes a recipe booklet.  Loving it.  Not loud at all when operating.  Easy to clean with soap and water rag.",loud,at when,POS
Great for jerky,Very easy to set up and use works really well especially with beef jerky the temp control is easy to adjust and it's pretty quiet,set up,easy,POS
Great for jerky,Very easy to set up and use works really well especially with beef jerky the temp control is easy to adjust and it's pretty quiet,temp control,easy adjust,POS
Cool dehydrator,This is the first Ike I’ve used a dehydrator. Instructions were clear. Setup was easy. Day 1 I was able to load this up with mostly veggies and started dehydrating. It works easily and seems to week well based on my veggie results. Very excited to make more foods with this.,,,
It works great,"It has 9 heavy duty trays!!! It's easy to use it works great and it's silent compared to my old dehydrator, it fits on my counter perfectly and it's easy to clean, it was a fantastic value and I highly recommend 5 stars",works,great,POS
Made in China.  Nice for an assortment of fruits and more.  Nice circulation.,This is a nine-tier square dehydrator.  Two fans in the back for better circulation.  Easy temp / time set.  If you’re unfamiliar with dehydrating. . . You’ll want to do some research first.  There are things which you will need. . . . All depending upon what you plan on dehydrating. . . . Such as apple peeler. . . Cherry pitter. . . Citric acid. . . and so on.  You’ll also need some glass jars with tight fitting lids.  But once you get started. . . I think it’s a lot of fun.,,,
