PID,Content,Aspect,Opinion,Sentiment
115508927639,Very nice shirt. Good quality cotton Very reasonable shipping cost I highly recommend this seller !,shipping cost,recommend,POS
115508927639,Fast shipping great ebayer,shipping,Fast,POS
115508927639,Fast shipping great ebayer,ebayer,great,POS
115508927639,Great seller fast shipping good transaction,shipping,fast,POS
115508927639,Great seller fast shipping good transaction,shipping,good,POS
115508927639,Amazing album at a great price! Speedy shipping and carefully packaged. I really appreciate you being a top notch eBay seller!,album,Amazing,POS
115508927639,Amazing album at a great price! Speedy shipping and carefully packaged. I really appreciate you being a top notch eBay seller!,shipping,Speedy,POS
115508927639,Love these items!!! Items were packed carefully and arrived quickly. Would shop again!,packed,carefully,POS
115508927639,Was as listed shipping was good will do business again,shipping,good,POS
115508927639,"Great Seller, Unfortunately there were some missing cards from this collection. Seller was very understanding and sorry that that the cards had been missed for this listing. Seller was very easy to work with on return of items and refund process. Very good response time and help through the return process. Hope to do business in future. Thank you",cards,missed,NEG
115508927639,"Great Seller, Unfortunately there were some missing cards from this collection. Seller was very understanding and sorry that that the cards had been missed for this listing. Seller was very easy to work with on return of items and refund process. Very good response time and help through the return process. Hope to do business in future. Thank you",cards,easy,POS
115508927639,"Book is in good condition for it's age, but has some undisclosed damage. Still, it was priced well and shipping was reasonable. Satisfied with this purchase. Seller did fine.",priced,well,POS
115508927639,"Book is in good condition for it's age, but has some undisclosed damage. Still, it was priced well and shipping was reasonable. Satisfied with this purchase. Seller did fine.",shipping,Satisfied,POS
115508927639,Very fast shipping well packed wonderful seller,shipping,fast,POS
115508927639,Very fast shipping well packed wonderful seller,shipping,well packed,POS
115508927639,Listening to record now sounds great! Seller shipped fast! Good price and condition! Thank you!,price,Good,POS
115508927639,Book shipped fast and was securely packaged. As described in the listing. No issues- great seller. Thanks!,shipped,fast,POS
115508927639,"Item was as described, Garment was absolutely stunning. Seller was easy to communicate with. Received my item in a timely fashion. Earlier than expected. Packaging was nice and neet. I will definitely purchase from this seller again.Thank you",Packaging,nice,POS
115508927639,Great shoes and delivered very quickly.,shoes,Great,POS
115508927639,Perfectly described item and good communication from seller,communication,good,POS
115508927639,The china arrived on time and in excellent condition.,china,excellent,POS
115521927553,Just as described. Packaged well and still sealed.,Packaged,well,POS
115521927553,Awesome seller. No B.S here. Description was spot on. Trust this seller. Great,Description,Great,POS
115521927553,My item was packaged well. The seller communicated wonderfully and shipped quickly. I highly recommend this seller!,shipped,wonderfully,POS
115521927553,My item was packaged well. The seller communicated wonderfully and shipped quickly. I highly recommend this seller!,shipped,recommend,POS
115521927553,"Great communication and fast shipping, item well packaged.",communication,Great,POS
115521927553,Great! Just as described. Fast shipment and great communication.Thanks!,shipment,Fast,POS
115521927553,I love these glasses but would love them much more if they were 5 or 6 ounce size.,glasses,love,POS
115628808300,"Fast shipping, great seller, item packaging was perfect and the yarn was exactly as described. Great value, would buy from again!",item packaging,perfect,POS
115628808300,"Both items were correct and as described. It was a very pleasant transaction ans the seller was very cordial, even sending a personal note. The only issue I had was with the shipping. Though the seller has no control, I would have liked to have faster shipping considering I had tonpay for the shipping.",shipping,faster,POS
115628808300,"Item arrived on time, very well packaged, and exactly as described. This seller has great customer service and even left a very nice personalized note in the package! I a very happy and satisfied customer who would definitely buy from this seller again!",customer service,great,POS
115628808300,Excellent communication. Shipped fast. Exactly as described. Great seller,Shipped,Excellent,POS
115628808300,"Great value, just as described new, fast shipping and packaged very well.",shipping,fast,POS
115628808300,"Just as described new, great price fast shipping. Excellent seller",price,great,POS
115628808300,"Just as described new, great price fast shipping. Excellent seller",price,fast,POS
115628808300,"great communication, items as described , well packaged, and shipping quickly ..seller combined 3 auctions for shipping",shipping,quickly,POS
115628808300,"great communication, items as described , well packaged, and shipping quickly",shipping,quickly,POS
115628808300,Package arrived when promised and packed carefully to recent breaking. The decanter is absolutely beautiful and in great condition as described by the seller. I am so pleased with the ease of this transaction!,decanter,beautiful,POS
115628808300,Package arrived when promised and packed carefully to recent breaking. The decanter is absolutely beautiful and in great condition as described by the seller. I am so pleased with the ease of this transaction!,decanter,great,POS
115628808300,Package arrived when promised and packed carefully to recent breaking. The decanter is absolutely beautiful and in great condition as described by the seller. I am so pleased with the ease of this transaction!,decanter,pleased,POS
115628808300,Package arrived when promised and packed carefully to recent breaking. The decanter is absolutely beautiful and in great condition as described by the seller. I am so pleased with the ease of this transaction!,ease,pleased,POS
115628808300,The tea set was received this evening. It was packaged very well and arrived in tact. The Seller was very personable and communication was easy. Very pleased with the tea set.,tea set,well,POS
115628808300,The tea set was received this evening. It was packaged very well and arrived in tact. The Seller was very personable and communication was easy. Very pleased with the tea set.,communication,pleased,POS
115628808300,"The vase arrived in perfect condition. It was beautiful, and just as described on eBay. I am very happy that it arrived very shortly after I ordered it. This was a very positive experience! Thank you!",vase,happy,POS
115628808300,"The vase arrived in perfect condition. It was beautiful, and just as described on eBay. I am very happy that it arrived very shortly after I ordered it. This was a very positive experience! Thank you!",vase,positive,POS
115628808300,Seller was responsive and easy to work with.,Seller,responsive,POS
115628808300,Seller was responsive and easy to work with.,Seller,easy,POS
115628808300,"Even more lovely little leopard glass bud vase than the photos show. Careful packing meant it arrived in perfect nick and quick shipping meant I got it in good time. All in all, a lovely transaction, thank you!",packing,Careful,POS
115628808300,"Even more lovely little leopard glass bud vase than the photos show. Careful packing meant it arrived in perfect nick and quick shipping meant I got it in good time. All in all, a lovely transaction, thank you!",shipping,quick,POS
115628808300,Beautiful glass Packaged carefully and received promptly. Wonderful seller hope to have the privilege to purchase from again in the future.,glass,Beautiful,POS
115628808300,Beautiful glass Packaged carefully and received promptly. Wonderful seller hope to have the privilege to purchase from again in the future.,glass,carefully,POS
115628808300,Seller was easy to work with.,Seller,easy,POS
115628808300,Arrived quickly and packaging kept everything in perfect shape.,packaging,perfect,POS
115628808300,"All cards were in good condition as advertised, with excellent packaging and fast delivery. Excellent seller and value.",cards,good,POS
115628808300,"All cards were in good condition as advertised, with excellent packaging and fast delivery. Excellent seller and value.",packaging,excellent,POS
115640740481,"Fast shipping, great seller, item packaging was perfect and the yarn was exactly as described. Great value, would buy from again!",item packaging,perfect,POS
115640740481,"Both items were correct and as described. It was a very pleasant transaction ans the seller was very cordial, even sending a personal note. The only issue I had was with the shipping. Though the seller has no control, I would have liked to have faster shipping considering I had tonpay for the shipping.",shipping,faster,POS
115640740481,"Item arrived on time, very well packaged, and exactly as described. This seller has great customer service and even left a very nice personalized note in the package! I a very happy and satisfied customer who would definitely buy from this seller again!",customer service,great,POS
115640740481,Excellent communication. Shipped fast. Exactly as described. Great seller,Shipped,Excellent,POS
115640740481,"Great value, just as described new, fast shipping and packaged very well.",shipping,fast,POS
115640740481,"Just as described new, great price fast shipping. Excellent seller",price,great,POS
115640740481,"Just as described new, great price fast shipping. Excellent seller",price,fast,POS
115640740481,"great communication, items as described , well packaged, and shipping quickly ..seller combined 3 auctions for shipping",shipping,quickly,POS
115640740481,"great communication, items as described , well packaged, and shipping quickly",shipping,quickly,POS
115640740481,Fast shipping totally appreciate the very good service.,shipping,Fast,POS
115640740481,Great transaction got here quick thanks,transaction,Great,POS
115640740481,Great transaction got here quick thanks,transaction,quick,POS
115640740481,Accurate description and quick shipping!,description,Accurate,POS
115640740481,My 46 year old son loved this shirt. The delivery was awesome too. It was just as described. Thank you for the gift. Merry Christmas,delivery,loved,POS
115640740481,My 46 year old son loved this shirt. The delivery was awesome too. It was just as described. Thank you for the gift. Merry Christmas,delivery,awesome,POS
115640740481,The shirt was the size as described and was shipped in a timely manner.,size,timely,POS
115640740481,Very nice quality and arrived just as advertised.,quality,nice,POS
115640740481,Item as described quick shipment will buy again,shipment,quick,POS
115640740481,Very nice shirt! Shipped on time and ready for my cruise! Great sellet!,Shipped,nice,POS
115640740481,Great service and fast delivery,service,Great,POS
115640740481,Great service and fast delivery,delivery,fast,POS
115640740481,Great price and fast shipping!,price,Great,POS
115925191109,Package arrived when promised and packed carefully to recent breaking. The decanter is absolutely beautiful and in great condition as described by the seller. I am so pleased with the ease of this transaction!,decanter,beautiful,POS
115925191109,Package arrived when promised and packed carefully to recent breaking. The decanter is absolutely beautiful and in great condition as described by the seller. I am so pleased with the ease of this transaction!,decanter,great,POS
115925191109,Package arrived when promised and packed carefully to recent breaking. The decanter is absolutely beautiful and in great condition as described by the seller. I am so pleased with the ease of this transaction!,decanter,pleased,POS
115925191109,Package arrived when promised and packed carefully to recent breaking. The decanter is absolutely beautiful and in great condition as described by the seller. I am so pleased with the ease of this transaction!,ease,pleased,POS
115925191109,The tea set was received this evening. It was packaged very well and arrived in tact. The Seller was very personable and communication was easy. Very pleased with the tea set.,tea set,well,POS
115925191109,The tea set was received this evening. It was packaged very well and arrived in tact. The Seller was very personable and communication was easy. Very pleased with the tea set.,communication,pleased,POS
115925191109,"The vase arrived in perfect condition. It was beautiful, and just as described on eBay. I am very happy that it arrived very shortly after I ordered it. This was a very positive experience! Thank you!",vase,happy,POS
115925191109,"The vase arrived in perfect condition. It was beautiful, and just as described on eBay. I am very happy that it arrived very shortly after I ordered it. This was a very positive experience! Thank you!",vase,positive,POS
115925191109,Seller was responsive and easy to work with.,Seller,responsive,POS
115925191109,Seller was responsive and easy to work with.,Seller,easy,POS
115925191109,"Even more lovely little leopard glass bud vase than the photos show. Careful packing meant it arrived in perfect nick and quick shipping meant I got it in good time. All in all, a lovely transaction, thank you!",packing,Careful,POS
115925191109,"Even more lovely little leopard glass bud vase than the photos show. Careful packing meant it arrived in perfect nick and quick shipping meant I got it in good time. All in all, a lovely transaction, thank you!",shipping,quick,POS
115925191109,Beautiful glass Packaged carefully and received promptly. Wonderful seller hope to have the privilege to purchase from again in the future.,glass,Beautiful,POS
115925191109,Beautiful glass Packaged carefully and received promptly. Wonderful seller hope to have the privilege to purchase from again in the future.,glass,carefully,POS
115925191109,Seller was easy to work with.,Seller,easy,POS
115925191109,Arrived quickly and packaging kept everything in perfect shape.,packaging,perfect,POS
115925191109,"Everything in great shape. Perfectly packaged and extremely fast shipping. Good prices and great status. Amazing seller, quick responses. Thanks a lot and definetely will buy more metal!!!",prices,Good,POS
115925191109,"All cards were in good condition as advertised, with excellent packaging and fast delivery. Excellent seller and value.",cards,good,POS
115925191109,"All cards were in good condition as advertised, with excellent packaging and fast delivery. Excellent seller and value.",packaging,excellent,POS
116172770531,"Great price, fast shipping and very good seller!",shipping,fast,POS
116172770531,Item as described. Shipping was fast and item was packaged very well.,Shipping,fast,POS
116172770531,Great price and fast shipping! Would deal with again!,price,Great,POS
116172770531,I love this store! Five star seller. Items just as pictured and described in listing. Shipped lightning fast!,Shipped,love,POS
116172770531,Very nice shirt. Good quality cotton Very reasonable shipping cost I highly recommend this seller !,quality cotton,Good,POS
116172770531,Very nice shirt. Good quality cotton Very reasonable shipping cost I highly recommend this seller !,shipping cost,reasonable,POS
116172770531,Very nice shirt. Good quality cotton Very reasonable shipping cost I highly recommend this seller !,shipping cost,recommend,POS
116172770531,Fast shipping great ebayer,shipping,Fast,POS
116172770531,Fast shipping great ebayer,ebayer,great,POS
116172770531,Great seller fast shipping good transaction,shipping,fast,POS
116172770531,Great seller fast shipping good transaction,shipping,good,POS
116172770531,"Fast shipping, great seller, item packaging was perfect and the yarn was exactly as described. Great value, would buy from again!",item packaging,perfect,POS
116172770531,"Both items were correct and as described. It was a very pleasant transaction ans the seller was very cordial, even sending a personal note. The only issue I had was with the shipping. Though the seller has no control, I would have liked to have faster shipping considering I had tonpay for the shipping.",shipping,faster,POS
116172770531,"Item arrived on time, very well packaged, and exactly as described. This seller has great customer service and even left a very nice personalized note in the package! I a very happy and satisfied customer who would definitely buy from this seller again!",customer service,great,POS
116172770531,Excellent communication. Shipped fast. Exactly as described. Great seller,Shipped,Excellent,POS
116172770531,"Great value, just as described new, fast shipping and packaged very well.",shipping,fast,POS
116172770531,"Just as described new, great price fast shipping. Excellent seller",price,great,POS
116172770531,"Just as described new, great price fast shipping. Excellent seller",price,fast,POS
116172770531,"great communication, items as described , well packaged, and shipping quickly ..seller combined 3 auctions for shipping",shipping,quickly,POS
116172770531,"great communication, items as described , well packaged, and shipping quickly",shipping,quickly,POS
116305413034,"SUPER FAST Shipping, Great Communication - Item exactly as described - Packaged very well - Have yet to install it, but looking forward to trying it out - Would do business with this seller again - 5 Stars all the way !!",Communication,Great,POS
116305413034,"I received very quickly but not the right one for me. Excellent customer service returned item and refunded with out any fuss, many thanks.",customer service,Excellent,POS
116305413034,Good price and fast shipping for each box.,price,Good,POS
116305413034,Good price and fast shipping for each box.,shipping,fast,POS
116305413034,Great price super fast shipping,price,Great,POS
116305413034,Great price super fast shipping,shipping,fast,POS
116305413034,"Lovely desk, good value for money, fast delivery, many thanks",value,good,POS
116305413034,Great price arrived fast in perfect condition,price,Great,POS
116305413034,Great price arrived fast in perfect condition,price,fast,POS
116305413034,Fast delivery happy with product would recommend this seller,delivery,Fast,POS
116305413034,Fast delivery happy with product would recommend this seller,delivery,happy,POS
116305413034,"Items arrived quickly. Seller packaged product for shipping very well. Also item was brand new as described. The product is medium weight sheet covers. This is the only brand I have used, and the only weight I prefer. Seller has outstanding prices and is very generous. I would buy again, and I am recommending seller and product.",prices,outstanding,POS
116387566695,Item as described at a great price and fast shipping. Excellent communication from the seller. Thank you.,price,great,POS
116387566695,Easy transaction. Fast shipping. Lip color was in perfect condition as stated. Would definitely shop here again! Great seller. Thanks!,Lip color,Fast,POS
116387566695,"Just as described. Brand new, very reasonable price. Stellar shipping as well! Thank you",shipping,Stellar,POS
116387566695,"I appreciate the communication the seller has with the customer. I didn't realize when I ordered my item that the seller was out of town. So, after a couple days of waiting, I sent a message asking when the item might ship. I received a quick response stating my item would ship as soon as they returned. Which it did. It was so nice to know my order wasn't lost. Thanks for the quick shipping and a great product too.",shipping,appreciate,POS
116387566695,"I appreciate the communication the seller has with the customer. I didn't realize when I ordered my item that the seller was out of town. So, after a couple days of waiting, I sent a message asking when the item might ship. I received a quick response stating my item would ship as soon as they returned. Which it did. It was so nice to know my order wasn't lost. Thanks for the quick shipping and a great product too.",shipping,quick,POS
116387566695,sent exactly what I ordered. Wrapped safely and delivered quickly,Wrapped,safely,POS
116387566695,sent exactly what I ordered. Wrapped safely and delivered quickly,delivered,quickly,POS
116387566695,"They took a bit to get here, but once they did, I could not believe how secure the package was! Wrapped in bubble wrap, then taped, then in a box. Always love Erno Lazlo products .",package,could believe,NEG
116387566695,"They took a bit to get here, but once they did, I could not believe how secure the package was! Wrapped in bubble wrap, then taped, then in a box. Always love Erno Lazlo products .",package,secure,POS
116387566695,Great seller! Fast shipping even during the holidays. Good quality product. Thank you!,shipping,Fast,POS
116387566695,"Love it! As described and creme is still rich and creamy, extremely happy! Excellent Seller, thank you!!",creme,Love,POS
116387566695,"Love it! As described and creme is still rich and creamy, extremely happy! Excellent Seller, thank you!!",creme,rich,POS
116387566695,GOOD SELLER WITH FAST SHIPPING,SHIPPING,FAST,POS
116387566695,Fast shipping and great price,shipping,Fast,POS
116387566695,Fast shipping and great price,price,great,POS
116387566695,Item as described and super fast shipping,shipping,fast,POS
116387566695,"I received the product as described, but the product was missing two pieces at the end of the lock cylinder that I then had to go to the auto parts store to buy myself. The seller didn't offer to give back a partial refund- just said to send my vehicle info along with sending it back and they'd try to get me the right one. This is frustrating as I had to spend more money to have the product function properly and completely. After messaging the seller the other day, I haven't heard back.",function,frustrating,NEG
116387566695,"I received the product as described, but the product was missing two pieces at the end of the lock cylinder that I then had to go to the auto parts store to buy myself. The seller didn't offer to give back a partial refund- just said to send my vehicle info along with sending it back and they'd try to get me the right one. This is frustrating as I had to spend more money to have the product function properly and completely. After messaging the seller the other day, I haven't heard back.",function,properly,POS
116387566695,"I can't understand why this was split into 2 shipments with one being a small box inside a box 10x larger and the other being a small box inside a padded envelope. Anyway, shipping was free so no big deal...just odd. Parts arrived in good shape!",shipping,free,POS
116387566695,Product came within a day that it was ordered and communication was great with the supplier,communication,great,POS
116387566695,"Excellent EBay seller. Quick reply, very quick with shipping. The item was carefully packed and well packaged. The speed, convenience, and outstanding value this vendor provided is over the top. I will return.",value,outstanding,POS
116387566695,Thank you for the part and reaching out with quick response on shipping.,response,quick,POS
116387566695,"never did send it, told me they did , tracking number was fake, I really needed this part, how disappointing",tracking number,disappointing,POS
116387566695,promptly delivered appears to be new condition great value,value,great,POS
116387566695,"The product Is reasonably priced, of good quality and new. It was well packaged for shipping as well.",quality,good,POS
116387566695,"The product Is reasonably priced, of good quality and new. It was well packaged for shipping as well.",shipping,well packaged,POS
116387566695,"It came New as stated.. My only issue tracking didn't happen at all,",issue tracking,New,NEU
116387566695,Power steering pump was exactly as described. Fitment was perfect and quality was great. Shipping was lightning fast. Thank you for a great eBay experience,Power pump,perfect,POS
116387566695,Power steering pump was exactly as described. Fitment was perfect and quality was great. Shipping was lightning fast. Thank you for a great eBay experience,Fitment,perfect,POS
116387566695,Power steering pump was exactly as described. Fitment was perfect and quality was great. Shipping was lightning fast. Thank you for a great eBay experience,quality,perfect,POS
116387566695,"very good quality , well packed for maximum protection from damage. arrived in excellent condition, price was cool considering the unavailibaty of the item in the Caribbean, look perfect , it is the replica of the original part.",quality,good,POS
116387566695,"very good quality , well packed for maximum protection from damage. arrived in excellent condition, price was cool considering the unavailibaty of the item in the Caribbean, look perfect , it is the replica of the original part.",price,cool,POS
116387566695,"very good quality , well packed for maximum protection from damage. arrived in excellent condition, price was cool considering the unavailibaty of the item in the Caribbean, look perfect , it is the replica of the original part.",price,perfect,POS
116387566695,Super fast shipping and as described. Will buy from again. Thank you!,shipping,fast,POS
116387566695,Great seller and price,price,Great,POS
116387566695,"These people are top tier on what a good merchant on Ebay should be. Quality products, very responsive and helpful customer service and the super fast shipping got me out of a bind for which I'm grateful. If these people have what you need then get it here. Very seldom am I impressed with Ebay sellers but I am with this one.",customer service,responsive,POS
116387566695,"These people are top tier on what a good merchant on Ebay should be. Quality products, very responsive and helpful customer service and the super fast shipping got me out of a bind for which I'm grateful. If these people have what you need then get it here. Very seldom am I impressed with Ebay sellers but I am with this one.",customer service,helpful,POS
116387566695,"These people are top tier on what a good merchant on Ebay should be. Quality products, very responsive and helpful customer service and the super fast shipping got me out of a bind for which I'm grateful. If these people have what you need then get it here. Very seldom am I impressed with Ebay sellers but I am with this one.",shipping,fast,POS
116387566695,Fast shipping and item was as described,shipping,Fast,POS
116387566695,Fast delivery and item was well packaged,delivery,Fast,POS
116387566695,Fast delivery as advertised,delivery,Fast,POS
116387566695,Fast delivery great price and product,delivery,Fast,POS
116387566695,Fast delivery great price and product,delivery,great,POS
116387566695,Fast delivery great price and product,price,great,POS
116387566695,"got my new clear spray to use on my faded head lights, appears like great quality and good price, and fast shipping, thanks",spray,clear,POS
116387566695,"got my new clear spray to use on my faded head lights, appears like great quality and good price, and fast shipping, thanks",quality,great,POS
116387566695,"Very easy, working with seller, and item was shipped in good time.",shipped,good,POS
116387566695,Excellent service and shipping. Would deal with again. Thanks,service,Excellent,POS
116387566695,"fast deliver, great customer service, great quality of the part.....................................................................................................................................................................................................................................................................................................................................................................................................................................................",quality,great,POS
116387566695,Just as described perfectly fit just like o e m will definitely use again shipping was very quick,shipping,quick,POS
116387566695,as described fast shipping,shipping,fast,POS
116387566695,"Great seller, the item as described. The fitting was very good except for the grill mesh, it was little bit tilted, but that not a big issue. The seal kit is better from many other unbraded seals I tried .",fitting,good,POS
116387566695,"Great seller, the item as described. The fitting was very good except for the grill mesh, it was little bit tilted, but that not a big issue. The seal kit is better from many other unbraded seals I tried .",seal kit,better,POS
116387566695,Thanks for the fast shipping and great packaging.,shipping,fast,POS
116387566695,"Fast shipping, great communication",communication,great,POS
116387566695,"fast ship , as described , happy .",ship,fast,POS
116387566695,"I was very surprised how well this condensor was packaged! The condensor and all other parts that were ordered were properly packaged, with shipping pillows inside the boxes. No parts were damaged! All parts came in fast as well. I will continue purchasing from this seller!",condensor,surprised,POS
116387566695,Book shipped fast and was securely packaged. As described in the listing. No issues- great seller. Thanks!,shipped,fast,POS
116387566695,"Item was as described, Garment was absolutely stunning. Seller was easy to communicate with. Received my item in a timely fashion. Earlier than expected. Packaging was nice and neet. I will definitely purchase from this seller again.Thank you",Packaging,nice,POS
116387566695,Great shoes and delivered very quickly.,shoes,Great,POS
116387566695,Perfectly described item and good communication from seller,communication,good,POS
116387566695,The china arrived on time and in excellent condition.,china,excellent,POS
116387566695,"Truly excellent, just as described by seller and at a very good price. It's tricky to get items like this shipped without damage, but in this case the seller went the extra measure to pack it like a professional whose life depended on it arriving just as it was sent. That attention to detail made my day and I would do business with him again in a heartbeat. Good quality, great service, and a fair price - what more can you ask for?",price,fair,POS
116387566695,Very well packed with no damage in shipping!,packed,well,POS
116387566695,Great seller. Quick shipping and exactly what my wife wanted.,shipping,Quick,POS
116387566695,Great seller. Quick shipping and exactly what my wife wanted.,shipping,exactly,POS
116387566695,Very nice eBayer with fast transaction and nice items.,eBayer,nice,POS
116387566695,Lovely cups with careful and quick shipping.,cups,Lovely,POS
116387566695,Item as described and advertised Packed securely Sent with great speed and urgency Also chucked in some additional cards,speed,great,POS
116387566695,"Fantastic card, great price, great communication from seller. Fast shipping. Highly recommend.",communication,great,POS
116387566695,"Fast delivery, great communication and product packaged well and in perfect condition. Highly recommended seller!",communication,great,POS
116419437500,"Everything in great shape. Perfectly packaged and extremely fast shipping. Good prices and great status. Amazing seller, quick responses. Thanks a lot and definetely will buy more metal!!!",prices,Good,POS
116419437500,"All cards were in good condition as advertised, with excellent packaging and fast delivery. Excellent seller and value.",cards,good,POS
116419437500,"All cards were in good condition as advertised, with excellent packaging and fast delivery. Excellent seller and value.",packaging,excellent,POS
116419437500,good product at great price! fast shipping excellent seller!!!,shipping,fast,POS
116419437500,good product at great price! fast shipping excellent seller!!!,shipping,excellent,POS
116419437500,Apart perfomed perfectly and was delivered in a timely manner,Apart perfomed,perfectly,POS
116419437500,"Very helpful seller. Item as described. Packed well, shipped fast",shipped,fast,POS
116419437500,Fast shipping,shipping,Fast,POS
116419437500,"A reliable and professional seller offering a wide range of items. Not always the cheapest option but certainly a store upon which you can depend. My goods were dispatched promptly, packaged appropriately and, upon receipt, found to be exactly as described. Communication throughout the process was good and I'd have no hesitation in purchasing from here in the future.",process,appropriately,POS
