ID,Content,Aspect,Opinion,Sentiment
got this for jerky and fruits,This dehydrator is straight up awesome... Really great for drying your own jerky which I have always wanted to do at home... I also love banana and apple chips which I use this dehydrator for. The settings are customizable allowing you to tweak the temperatures and set and forget the 48 hour timer... which is ideal for my busy schedule. Plus it's quieter than my roommate's gaming sessions so it won't disturb you either... It's easy to clean and has a really nice design... even comes with different trays for different treats. Really a nice addition to my kitchen setup so I'd highly recommend it!,settings,customizable,POS
got this for jerky and fruits,This dehydrator is straight up awesome... Really great for drying your own jerky which I have always wanted to do at home... I also love banana and apple chips which I use this dehydrator for. The settings are customizable allowing you to tweak the temperatures and set and forget the 48 hour timer... which is ideal for my busy schedule. Plus it's quieter than my roommate's gaming sessions so it won't disturb you either... It's easy to clean and has a really nice design... even comes with different trays for different treats. Really a nice addition to my kitchen setup so I'd highly recommend it!,trays,different,POS
got this for jerky and fruits,This dehydrator is straight up awesome... Really great for drying your own jerky which I have always wanted to do at home... I also love banana and apple chips which I use this dehydrator for. The settings are customizable allowing you to tweak the temperatures and set and forget the 48 hour timer... which is ideal for my busy schedule. Plus it's quieter than my roommate's gaming sessions so it won't disturb you either... It's easy to clean and has a really nice design... even comes with different trays for different treats. Really a nice addition to my kitchen setup so I'd highly recommend it!,settings,recommend,POS
Easy to Use,"I love a good dehydrator. I am a DIYer, and I like to make my own dehydrated fruit and jerky. This appliance works well and is very spacious. It is reasonably priced and would make a great housewarming gift for the right person. It has several racks, so you can make a nice amount of dehydrated food.",appliance,well,POS
Easy to Use,"I love a good dehydrator. I am a DIYer, and I like to make my own dehydrated fruit and jerky. This appliance works well and is very spacious. It is reasonably priced and would make a great housewarming gift for the right person. It has several racks, so you can make a nice amount of dehydrated food.",works,well,POS
Works great!,"Beautiful Stainless Steel outer shell with side handles so it is easy to move.  Very user friendly touch screen at the top.  Comes with metal trays, fruit roll up tray and 2 mesh trays.  User manual is easy to understand and it includes a recipe booklet.  Loving it.  Not loud at all when operating.  Easy to clean with soap and water rag.",Stainless shell,Beautiful,POS
Works great!,"Beautiful Stainless Steel outer shell with side handles so it is easy to move.  Very user friendly touch screen at the top.  Comes with metal trays, fruit roll up tray and 2 mesh trays.  User manual is easy to understand and it includes a recipe booklet.  Loving it.  Not loud at all when operating.  Easy to clean with soap and water rag.",screen at,friendly touch,POS
Works great!,"Beautiful Stainless Steel outer shell with side handles so it is easy to move.  Very user friendly touch screen at the top.  Comes with metal trays, fruit roll up tray and 2 mesh trays.  User manual is easy to understand and it includes a recipe booklet.  Loving it.  Not loud at all when operating.  Easy to clean with soap and water rag.",easy to,is,POS
Works great!,"Beautiful Stainless Steel outer shell with side handles so it is easy to move.  Very user friendly touch screen at the top.  Comes with metal trays, fruit roll up tray and 2 mesh trays.  User manual is easy to understand and it includes a recipe booklet.  Loving it.  Not loud at all when operating.  Easy to clean with soap and water rag.",when,loud,POS
Works great!,"Beautiful Stainless Steel outer shell with side handles so it is easy to move.  Very user friendly touch screen at the top.  Comes with metal trays, fruit roll up tray and 2 mesh trays.  User manual is easy to understand and it includes a recipe booklet.  Loving it.  Not loud at all when operating.  Easy to clean with soap and water rag.",when,loud at,POS
Works great!,"Beautiful Stainless Steel outer shell with side handles so it is easy to move.  Very user friendly touch screen at the top.  Comes with metal trays, fruit roll up tray and 2 mesh trays.  User manual is easy to understand and it includes a recipe booklet.  Loving it.  Not loud at all when operating.  Easy to clean with soap and water rag.",loud,at,POS
Works great!,"Beautiful Stainless Steel outer shell with side handles so it is easy to move.  Very user friendly touch screen at the top.  Comes with metal trays, fruit roll up tray and 2 mesh trays.  User manual is easy to understand and it includes a recipe booklet.  Loving it.  Not loud at all when operating.  Easy to clean with soap and water rag.",when,at,POS
Works great!,"Beautiful Stainless Steel outer shell with side handles so it is easy to move.  Very user friendly touch screen at the top.  Comes with metal trays, fruit roll up tray and 2 mesh trays.  User manual is easy to understand and it includes a recipe booklet.  Loving it.  Not loud at all when operating.  Easy to clean with soap and water rag.",loud,at when,POS
Great for jerky,Very easy to set up and use works really well especially with beef jerky the temp control is easy to adjust and it's pretty quiet,set up,easy,POS
Great for jerky,Very easy to set up and use works really well especially with beef jerky the temp control is easy to adjust and it's pretty quiet,temp control,easy adjust,POS
It works great,"It has 9 heavy duty trays!!! It's easy to use it works great and it's silent compared to my old dehydrator, it fits on my counter perfectly and it's easy to clean, it was a fantastic value and I highly recommend 5 stars",works,great,POS
