ID,Content,Aspect,Opinion,Sentiment
The combo of the quality and the price is fantastic!,"These are awesome.  I just put them in last night and they fit like a glow.  The holes lined up perfect with the hooks so they will certainly stay in place.  The second row did not seem to fit at first, I had to stretch it to get the hooks to line up.  This is only because they were fresh out of the box and had not settled from the folds.  The quality is excellent , I am sure they will prove to be durable and easy to clean.  The color is deep black with a texture, so they look really nice.",holes,with,POS
Verified Purchase,"These mats fit perfectly in my 2023 Hyundai Palisade XRT!! I love them, definitely recommend!!",mats,perfectly,POS
Verified Purchase,"These mats fit perfectly in my 2023 Hyundai Palisade XRT!! I love them, definitely recommend!!",mats,love,POS
Good fit,"I just installed these today, and the fit looks pretty good. The mats feel substantial, I had to lay them out last night to help them flatten out from being folded during delivery. Easy to install and fit well in my 2024 Ioniq 5, which has the moveable console.",,,
Verified Purchase,Nice fit at good price,fit,Nice,POS
Verified Purchase,Nice fit at good price,price,good,POS
Nice fit,Couldn't have been easier. They practically flew out of the box and into the car unassisted.  I will say the box thay shipped in was Size of a freezer.,,,
Verified Purchase,They are very nice but I sent them back because the wouldn't fit 2024 Santa Fe XRT,,,
Fits like a glove.,"BUT,  I'll still rate a Five because of quality.",,,
Verified Purchase,I have purchased Weather Tech products before I found these and they are great for the price compared to Weather Tech. They are definitely a great price for a great product.,,,
Did not fit 2024 Santa Fe XRT,These are well made and fit the vehicle perfectly…great for the price and would definitely recommend,,,
Verified Purchase,These are better quality than others and they do fit the 2024 hyundai tucson pretty good.,quality,better,POS
Great Fit,Great quality,quality,Great,POS
Verified Purchase,Have used weathertech in past. Figured take a look at these. As advertised. Price is rite.Fits my 2023 Santa Fe perfect.,,,
perfit fit,"I bought for my Santa Fe, the fit is perfect, glad I bought this brand",fit,glad,POS
Verified Purchase,I think the mats are hard if they were softer they would fit even better,mats,hard,NEG
Fit great,"I reluctantly made the purchase for my 2023 Hyundai Tucson. I typically purchase Weathertech, but wanted to give this product a try. The mats were a perfect fit and they are durable. The price was right (much less than the competitor) and will buy again for future vehicles we buy.  I highly recommend!",,,
Verified Purchase,Extremely pleased with our purchase. They fit well in our 2024 Tucson.,,,
Very Impressed,Fit great and I like them,Fit,great,POS
Very Impressed,Fit great and I like them,Fit,like,POS
Verified Purchase,Very happy with the rubber weather liner for my 2023 Tuscan.,rubber liner,happy,POS
Perfect Fit,Great floor mats!!,,,
Verified Purchase,"Buena calidad súper recomendados ajustaron super en mi Tucson 2023, Highly recommended for a Tucson 2023",,,
Like them,These were folded in the box and kept the crease.  They won't lay flat,,,
Verified Purchase,"Note: In my excitement i skipped over the part saying for moveable console version. Mine is fixed, but it only leaves a small gap of carepet revealed in the back middle portion. Other than that the fit is still perfect so im using with no issues.",,,
Fit but still a little lumpy,"These are great floor mats for the Ioniq 5, very durable and they fit perfect but they come folded and bent in a box so I'm still waiting for them to flatten completely (but I think they will).  They're very durable and thick and well made.  No garish designs or big logos on them, nice and plain.",,,
Ok fit with some wrinkles on the sides though,"Installation was easy but the mats were jammed inside the packaging box, and was hard for them to return to original shape. Instead, I found wrinkles here and there, and after installation, wrinkles still present and made the mats not able to cover all sides. FIt was OK, and coverage is pretty good except for areas with wrinkles.",Installation,easy,POS
Ok fit with some wrinkles on the sides though,"Installation was easy but the mats were jammed inside the packaging box, and was hard for them to return to original shape. Instead, I found wrinkles here and there, and after installation, wrinkles still present and made the mats not able to cover all sides. FIt was OK, and coverage is pretty good except for areas with wrinkles.",mats,jammed,NEG
Floor Mats that Fit and Are Durable,Ill need to wait and see how long it will take the mats to become wrinkle free. I will follow up then.,,,
What a robust and attractive floor mat!!,i just purchased a new Ioniq 5 and was looking for floor mats to protect the carpeting. These floor mats are perfect. They fit snugly in the front and back floorboards. The mats are made of heavy-duty rubber and are easy to remove for cleaning. The mats have an anti-slip quality to them to prevent your feet from slipping off the pedals while driving. These are quality floormats that are highly functional and look good in my car.,,,
Mixed feelings!,"I acquired this mat for my wife’s 2022 Hyundai Ioniq 5. The factory installed ones were permeable to liquids and were virtually impossible to clean. These are impervious to liquids, are easy to clean and the fit is perfect. My wife loves them and also highly recommend them. In addition, the cost benefit is very high. A must for anyone driving an ioniq 5.",,,
Fits well on 2023 SEL trim,"THE GOOD: 1st row mats, work great. They fit, they protect floor, they feel sturdy and I would recommend these mats for anyone looking for 1st row mats.",,,
Perfect fit for 2023 Ioniq 5 (SE RWD),"THE BAD: The floor mats that were on the picture were not the same floor mats that we received. As you can see by the picture, the 2nd row mats do not fit the 2nd row on our IONIQ 5.",,,
